prompt,completion,
洋蔥、秋葵、美生菜、鱈魚肝罐頭、薄荷葉,"鱈魚肝拌醋
 食材：洋蔥，秋葵，美生菜，鱈魚肝罐頭，薄荷葉
 調味料：三杯醋
 作法：1.洋蔥洗淨並切細絲，再以冷水沖洗，泡入冰水中約5分鐘，撈出瀝乾水份，備用。2.秋葵放入沸水中燙熟，撈出瀝乾水份後切片，備用。3.取一盤，將美生菜洗淨後舖在盤中，再將作法1的洋蔥絲舖在盤中，備用。4.再舖上鱈魚肝，放上作法2的秋葵片，放入薄荷葉點綴裝飾，淋上三杯醋醬即可。",
魚漿、肥豬肉、水,"魚丸
 食材：魚漿，肥豬肉，水
 調味料：A.雞粉，太白粉，楜椒粉，鹽，糖，B.香油
 作法：1.將調味料A與水拌勻成粉漿備用。2.魚漿攪拌至有黏性時先加入作法1.中的1/2粉漿，繼續攪拌至水分完全被吸收後再加入其餘1/2的粉漿攪拌均勻。3.加入肥豬肉及香油至作法2.的魚漿拌勻。4.燒水，煮至沸騰後，將作法3的魚漿用手擠壓出圓球狀放入水中，重複步驟至魚漿用完。煮至魚丸完全浮於水面上即可撈起食用。",
鮭魚、蒜片、薑片、檸檬片,"蒜香鮭魚
 食材：鮭魚，蒜片，薑片，檸檬片
 調味料：鹽，米酒
 作法：1.鮭魚洗淨瀝乾，放入薑片、米酒醃約10分鐘備用。2.熱鍋，鍋面上刷上少許的油，放入作法1的鮭魚煎約2分鐘。3.將鮭魚翻面，放入蒜片一起煎至金黃色，取出盛盤放上檸檬片即可。",
鯛魚、蘋果、紅蘿蔔、甜豆、洋蔥、椰漿、咖哩粉、沙拉油、熱開水,"咖哩鯛魚片
 食材：鯛魚，蘋果，紅蘿蔔，甜豆，洋蔥，椰漿，咖哩粉，沙拉油，熱開水
 調味料：鹽
 作法：1.鯛魚一開二後沿紋路切片；洋蔥洗淨，蘋果、紅蘿蔔洗淨削去外皮，皆切成與鯛魚同大小的長形塊備用。2.電鍋按下開關，外鍋加熱開水及鹽，將作法1的紅蘿蔔塊及甜豆稍微汆燙一下即撈出，瀝乾水份備用。3.將作法2外鍋的水倒掉並擦乾，再按下電鍋開關，於外鍋放入沙拉油燒熱，炒香咖哩粉及洋蔥塊後，再放入作法1的蘋果塊及2杯熱開水煮5分鐘，最後加入作法1的鯛魚片、作法2的紅蘿蔔塊、甜豆及椰漿續煮2分鐘即可。",
土魠魚、薑末、蒜末、檸檬、九層塔,"泰式酸辣魚排
 食材：土魠魚，薑末，蒜末，檸檬，九層塔
 調味料：細砂糖，泰式酸甜辣醬，20度米酒，魚露，白胡椒粉，麵粉
 作法：1.土魠魚先用米酒、魚露、白胡椒粉醃約30分鐘備用。2.將泰式甜辣雞醬倒入碗中，加入薑末、蒜末、細砂糖，並擠入檸檬汁混拌均勻。3.取一鍋，倒入適量的油，以中火將油溫燒至170℃。將作法1的土魠魚平均沾上麵粉放入鍋中炸分鐘，至魚片呈金黃色後撈出，置於盤內。4.將作法2的酸甜醬平均淋在作法3的魚肉身上，並用九層塔裝飾即可。",
罐頭鮪魚、洋蔥末、玉米粒、生菜葉、漢堡麵包,"黃金鮪魚沙拉堡
 食材：罐頭鮪魚，洋蔥末，玉米粒，生菜葉，漢堡麵包
 調味料：美乃滋，糖，黑胡椒粉
 作法：1.將罐頭鮪魚和玉米粒罐頭的湯汁瀝乾，倒入調理盆中再加入洋蔥末及所有調味料拌勻即為鮪魚沙拉。2.將漢堡麵包放進烤箱略烤至熱，取出後橫剖開，於中間依序放上作法1的鮪魚沙拉及生菜葉即可。",
魚肉、透抽肉、去皮香瓜、紅蘿蔔丁、洋蔥丁、美乃滋、越南春捲皮、麵粉、太白粉水、水,"鮮果海鮮捲
 食材：魚肉，透抽肉，去皮香瓜，紅蘿蔔丁，洋蔥丁，美乃滋，越南春捲皮，麵粉，太白粉水，水
 調味料：鹽，糖
 作法：1.香瓜、洋蔥、紅蘿蔔切小丁，備用。2.魚肉、透抽肉切丁，汆燙瀝乾，備用。3.熱鍋，加入適量沙拉油，放入洋蔥丁以小火略炒，再加入3大匙水、作法2的海鮮、作法1的紅蘿蔔丁、所有調味料煮滾，再加入太白粉水勾濃芡後熄火，待涼後放入冰箱冷凍約10分鐘，再加入美乃滋及香瓜丁拌勻，即為鮮果海鮮餡料。4.麵粉加入3大匙水調成麵糊，備用。5.越式春捲皮沾涼開水即取出，放入1大匙作法3的餡料捲起，沾上作法4麵糊，再均勻沾裹上麵包粉，放入油鍋中以低油溫中火炸至金黃浮起，撈出瀝油後盛盤即可。",
溪哥、薑、蔥、辣椒、九層塔,"紅燒溪哥
 食材：溪哥，薑，蔥，辣椒，九層塔
 調味料：醬油，酒，鹽
 作法：溪哥去除內臟後洗淨，瀝乾水份備用。薑、辣椒切斜片，蔥切斜段，九層塔洗淨備用。燒熱鍋子，倒入3杯油，燒約八份熱後，放入溪哥，炸約6分鐘，炸的時候需隨時用鍋鏟輕輕翻動，避免沾黏。等到溪哥炸至金黃酥脆後撈起，將油瀝乾備用。將炸油倒出，利用鍋子裡剩下的油，將薑片、蔥段、辣椒片炒香，加入調味料炒勻，最後將已經炸好的溪哥及九層塔放入，拌炒均勻即可。",
圓鱈魚、薑、蔥、蒜仁,"煙燻鱈魚
 食材：圓鱈魚，薑，蔥，蒜仁
 調味料：A.茶葉，細糖，麵粉，B.鹽，雞精粉，米酒，沙拉油
 作法：1.魚洗淨置於蒸盤上，魚的兩面均勻抹上鹽、雞精粉及米酒，靜置約5分鐘至入味；蔥洗淨、蒜仁去皮，均切碎備用。2.薑去皮、切片撒在作法1的魚上，放入蒸鍋蒸約10分鐘後取出，把薑片挑出，再取一網架，將魚置於網架上，用廚房紙巾將魚表面水分吸乾。3.將炒菜鍋底鋪一小張錫箔紙，將調味料A混合均勻倒至錫箔紙上，再將網架放到鍋中，不要接觸到煙燻料，蓋上鍋蓋，開中火煮至有煙從鍋邊冒出即轉小火，再持續約10分鐘即關火取出魚，裝盤。4.熱鍋放入沙拉油，以小火爆香蔥碎、蒜仁碎，淋在作法3的魚上即可。",
水發魚翅、瘦肉、香菇、竹筍、紅蘿蔔、蔥、薑片、香菜,"三絲魚翅羹
 食材：水發魚翅，瘦肉，香菇，竹筍，紅蘿蔔，蔥，薑片，香菜
 調味料：A.鹽，雞粉，料理米酒，烏醋，胡椒粉，高湯，B.香油，太白粉水
 醃料：鹽，胡椒粉，太白粉
 作法：1.水發魚翅加入高湯、蔥2支、薑5片及料理米酒以小火煮約30分鐘後，撈出力乾湯汁並挑除蔥、薑片備用。2.香菇浸泡溫水至軟切絲；竹筍洗淨去殼切絲；紅蘿蔔洗淨切絲；瘦肉切絲加少許鹽、胡椒粉及太白粉醃約10分鐘。3.熱一鍋，加入一小匙的油；蔥切小段與剩餘的薑片入鍋中爆香後，將蔥段、薑片撈掉。4.於作法3的鍋中加入高湯、作法2的竹筍絲、香菇絲、紅蘿蔔絲、瘦肉絲及作法1的魚翅後煮至沸騰。5.再加入調味料A煮勻後，以太白粉水勾芡，起鍋盛盤淋上香油，並放上香菜即可。",
帶骨鮭魚、馬鈴薯、洋蔥、紅蘿蔔、鮮奶、奶油、魚湯、火腿粒,"巧達魚湯
 食材：帶骨鮭魚，馬鈴薯，洋蔥，紅蘿蔔，鮮奶，奶油，魚湯，火腿粒
 調味料：月桂葉，百里香，胡椒粒，鹽，麵糊
 作法：1.將帶骨鮭魚洗淨，取下魚肉切粒，魚骨留下備用。2.將馬鈴薯、紅蘿蔔、洋蔥均洗淨，去皮後切小丁粒。3.奶油放入鍋中燒融，加入一半的洋蔥與作法1的鮭魚骨，以大火炒出香味，加入魚湯、月桂葉、百里香和胡椒粒，改中火續煮約20分鐘，過濾出湯汁。4.將作法3倒入鍋中中火煮開，加入鮭魚粒、馬鈴薯、紅蘿蔔、另一半洋蔥、鮮奶和鹽續煮至滾，徐徐加入麵糊以小火煮至濃稠，撒上火腿粒即可。",
鰻魚、白芝麻、廣東A菜,"蒲燒鰻
 食材：鰻魚，白芝麻，廣東A菜
 調味料：日式醬油，冰糖，米酒，水，柴魚片
 作法：1.熱鍋，除了柴魚片之外的所有調味料，以小火煮約15分鐘，再放入柴魚片，馬上過濾成鰻魚燒烤醬汁備用。2.將鰻魚剖開，在魚肉表面輕劃幾刀，取作法1的醬汁3大匙醃製約30分鐘備用。3.將作法2放入烤箱以約185℃烤約7分鐘取出，塗上作法1的醬汁，灑上白芝麻再放入烤箱續烤約1分鐘取出裝盤即可。",
牛腱心、白羅蔔、香菜,"清燉牛肉湯
 食材：牛腱心，白羅蔔，香菜
 調味料：鹽，白胡椒粒
 作法：1.牛腱心用熱開水清洗後切塊；白羅蔔去皮切大塊；香菜去葉留莖，備用。2.取一內鍋放入作法1的牛腱塊、白羅蔔塊、香菜莖及白胡椒粒、水。3.將內鍋放入電鍋中，外鍋放3杯水（份量外），蓋鍋蓋後按下開關，待開關跳起後，加鹽調味即可。",
牛肉、紅蘿蔔、青蔥、紅辣椒、薑、燙熟的綠花椰菜,"紅蘿蔔滷牛肉
 食材：牛肉，紅蘿蔔，青蔥，紅辣椒，薑，燙熟的綠花椰菜
 調味料：醬油，米酒，水
 作法：1.牛肉先去筋膜洗淨，放入滾水中燙熟後（可用筷子插入測試），撈起泡入冷水中洗淨切塊備用。2.青蔥、紅辣椒洗淨切段；薑切片，備用3.紅蘿蔔洗淨去皮後，切塊備用4.取一深鍋，放入作法1的牛肉塊和作法2的青蔥段、辣椒段、薑片和全部的調味料，蓋上鍋蓋以小火煮約30分鐘。5.待牛肉塊變軟後，再加入作法的紅蘿蔔塊，以小火煮20分鐘盛出，放入燙熟的花椰菜即可。",
牛腩、紅蘿蔔、白蘿蔔、青蔥段、辣椒段、薑片、水、滷包,"紅燒牛肉
 食材：牛腩，紅蘿蔔，白蘿蔔，青蔥段，辣椒段，薑片，水，滷包
 調味料：醬油，冰糖，蕃茄醬，醬油膏
 作法：1.牛腩洗淨瀝乾，切小塊狀；紅蘿蔔、白蘿蔔洗淨去皮，切塊狀；青蔥和辣椒洗淨切段備用。2.取鍋，將作法1的所有材料、薑片、水、滷包和調味料放入。3.續放入電鍋內，外鍋加入4杯水，按下電鍋開關，煮至開關跳起且牛腩軟化即可。",
牛肋條、白蘿蔔、紅蘿蔔、蔥、薑、蒜仁、米酒、水、八角、花椒、桂皮,"紅燒牛肉湯
 食材：牛肋條，白蘿蔔，紅蘿蔔，蔥，薑，蒜仁，米酒，水，八角，花椒，桂皮
 調味料：A.豆瓣醬，B.鹽，糖，醬油
 作法：1.紅、白蘿蔔切滾刀塊，放入滾水汆燙後撈出備用。2.蔥1根切花，另1根切3公分段；薑去皮切末；蒜仁拍碎，備用。3.牛肋條切5公分塊，放入滾水汆燙後撈出過涼備用。4.熱鍋加適量沙拉油，放入蔥段、薑末、蒜碎，用小火炒1分鐘，加入作法3的牛肉塊、豆瓣醬炒2分鐘，加入作法1的蘿蔔塊、米酒略炒。5.將作法4全部食材、水、鹽、糖，全部放入電子鍋內鍋，按下「煮飯」鍵，煮至開關跳起，加入醬油，撈掉浮油，撒上蔥花即可。",
牛腱心、蕃茄、青蔥、水,"蕃茄牛肉湯
 食材：牛腱心，蕃茄，青蔥，水
 調味料：豆瓣醬，鹽
 作法：1.牛腱心用熱開水清洗後切塊；蕃茄切塊；青蔥切段，備用。2.外鍋洗淨按下開關加熱，外鍋中倒入少許油，放入作法1的青蔥爆香，再放入牛腱塊炒焦黃。3.加入豆辦醬炒香後，放入作法1的蕃茄塊及水。4.蓋鍋蓋燉煮約60分鐘後，開蓋加鹽調味即可。",
牛肋條、蕃茄顆、洋蔥顆、高麗菜、番茄糊、水,"羅宋湯
 食材：牛肋條，蕃茄顆，洋蔥顆，高麗菜，番茄糊，水
 調味料：鹽
 作法：1.牛肋條用熱開水清洗後切丁；番茄、洋蔥、高麗菜洗淨切丁，備用。2.外鍋洗淨按下啟動開關加熱，外鍋中倒入少許油，放入作法1的洋蔥丁爆香，再放入牛肋條丁炒至焦黃。3.放入蕃茄丁、高麗菜丁、蕃茄糊及水。4.蓋鍋蓋燉煮約20分鐘後，開蓋加鹽調味即可。",
牛腩、白蘿蔔塊、紅蘿蔔塊、滷包、薑片、月桂葉,"紅燒牛肉
 食材：牛腩，白蘿蔔塊，紅蘿蔔塊，滷包，薑片，月桂葉
 調味料：米酒，醬油，糖，鹽，水
 作法：1.將牛腩洗淨、切塊後汆燙；白蘿蔔塊及紅蘿蔔塊汆燙，備用。2.熱鍋加入2大匙油，將薑片爆香，加入作法1的牛腩略炒，加入調味料拌炒。3.於作法2鍋中加水煮滾，再加入月桂葉、滷包及作法1的白蘿蔔塊、紅蘿蔔塊，以小火滷約1小時至軟爛，再燜10分鐘即可。",
薑片、蔥段、蒜頭、辣椒、八角、白蘿蔔塊、紅蘿蔔塊、洋蔥、牛腩條、水,"紅燒牛腩
 食材：薑片，蔥段，蒜頭，辣椒，八角，白蘿蔔塊，紅蘿蔔塊，洋蔥，牛腩條，水
 調味料：A.蕃茄醬，甜麵醬，辣豆瓣醬，B.醬油，糖，米酒
 作法：1.將材料B中的牛腩條洗淨後切段，放入滾水中汆燙去血水後，撈起瀝乾備用。2.熱鍋加入適量沙拉油，放入材料A爆香，再加入作法1的牛腩條與調味料A一起拌炒，炒至有香氣後加入調味料B與材料B拌炒。3.開大火將作法2煮滾後，蓋上鍋蓋關小火續燉煮40分鐘即可。",
牛腱、蔥、薑片、辣椒、百香滷汁,"滷牛腱
 食材：牛腱，蔥，薑片，辣椒，百香滷汁
 作法：1.將牛腱用沸水汆燙去血水，等到牛腱肉一收縮，馬上撈起沖冷水，至涼備用。2.將蔥洗淨切長段，辣椒切末備用。3.起油鍋，放入蔥段、薑片、辣椒末爆香，舀入1杯百香滷汁，煮滾後再將牛腱放入，用中火一邊煮一邊翻動，讓牛腱上色，煮約3分鐘。4.將百香滷汁燒滾，把作法3完成的材料倒入滷汁中，用中火滷約20分鐘，轉小火滷10分鐘，熄火後再燜10分鐘後即完成。牛腱切片排盤，再撒上少許蔥花、辣椒末後即可上桌食用。",
牛絞肉、洋蔥、紅蘿蔔、蛋白、沙拉油、四季豆、紅甜椒、紫高麗菜,"牛肉漢堡排
 食材：牛絞肉，洋蔥，紅蘿蔔，蛋白，沙拉油，四季豆，紅甜椒，紫高麗菜
 調味料：黑胡椒，鹽，糖，中筋麵粉
 作法：1.四季豆洗淨、去頭尾；紅甜椒洗淨、去蒂切小段，均放入滾水中汆燙至熟，撈起瀝乾；紫高麗菜洗淨、切絲備用。2.洋蔥、紅蘿蔔均去皮，洗淨後切成小碎丁狀，放入大攪拌盆中。3.在作法2中放入牛絞肉、蛋白與所有調味料，一起攪拌均勻。4.手掌沾上少許油，再將作法3的材料抓成圓球，放入手掌心中，以雙手將肉排兩面交互拍打成厚度約2公分的圓餅狀。5.熱鍋中倒入1大匙油以中火燒熱，放入作法4的牛肉漢堡排，再以中小火續煎至兩面呈金黃色，盤中舖上作法1的紫高麗菜絲，再盛入牛肉漢堡排後，放入作法1的四季豆和紅甜椒即可。",
牛腩、紅蘿蔔、紅蔥、蔥、薑、花椒、八角,"紅燒牛腩燴飯
 食材：牛腩，紅蘿蔔，紅蔥，蔥，薑，花椒，八角
 調味料：辣豆辦醬，酒，醬油，冰糖，高湯，太白粉水，鹽，味精，香油
 作法：1.牛腩切小塊，放入滾水中汆燙後撈起用清水洗淨備用。2.紅蔥切片；蔥切段；薑切片；紅蘿蔔去皮洗淨、切小塊備用。3.熱一鍋倒入2大匙油燒至熱，先放入紅蔥末、蔥段、薑片、辣椒醬炒香，再放入作法1的牛腩塊、紅蘿蔔塊略拌炒均勻。4.作法3鍋內加入高湯、辣豆瓣醬、酒、醬油和冰糖拌勻，改轉小火燜煮約1小時又50分鐘至肉爛且入味。5.將作法4鍋內的牛腩塊、紅蘿蔔塊先挑出，把湯汁的渣過濾掉重新倒回鍋中續煮開。6.作法5鍋內加入鹽、味精後用太白粉水勾芡，起鍋前淋上香油後盛於白飯盤上即可。",
牛肉、茄子、蒜末、紅辣椒末,"香煎牛肉茄子
 食材：牛肉，茄子，蒜末，紅辣椒末
 調味料：醬油，米酒，水
 作法：1.茄子去蒂洗淨後切成約5公分長的小條；牛肉切小片。2.熱平底鍋加入約3大匙的油，將作法1的茄子條放入鍋中，以大火煎約1分鐘後翻面再煎，煎至邊緣微焦。3.續放入蒜末、紅辣椒末炒香，加入作法1的牛肉片一起拌炒至牛肉鬆散，最後加入所有調味料炒勻，至湯汁收乾即可。",
牛腩、紅蘿蔔、洋蔥、青蔥、薑、清高湯、中藥滷包、白胡椒粉、香油、醬油、鹽,"清燉牛肉湯
 食材：牛腩，紅蘿蔔，洋蔥，青蔥，薑，清高湯，中藥滷包，白胡椒粉，香油，醬油，鹽
 作法：1.牛腩洗淨，切成小塊狀，放入滾水汆燙，撈起瀝乾備用。2.紅蘿蔔洗淨去皮切成滾刀塊；洋蔥洗淨切絲；青蔥洗淨切段；薑洗淨切片備用。3.取一個湯鍋，加入作法1的牛腩塊、作法2的所有材料、全部調味料和清高湯。4.蓋上作法3的鍋蓋，以中火燉煮約30分鐘即可。",
牛肉片、洋蔥、嫩豆腐、韓國泡菜、罐頭午餐肉、熱狗腸、麻油、牛骨高湯、韓式年糕、韓國辣泡麵,"韓式部隊鍋
 食材：牛肉片，洋蔥，嫩豆腐，韓國泡菜，罐頭午餐肉，熱狗腸，麻油，牛骨高湯，韓式年糕，韓國辣泡麵
 調味料：味醂，薑泥，細砂糖
 醃料：薑汁，米酒，醬油，味醂，太白粉，全蛋
 作法：1.混合所有醃料材料調勻，與牛肉片一起拌勻，醃約30分鐘備用。2.洋蔥去膜切細絲；嫩豆腐、韓國泡菜切小塊；spam午餐肉、熱狗腸切片，備用。3.取一鍋燒熱，加入麻油，放入作法2的洋蔥絲略炒，再加入作法1的牛肉片快炒約1分鐘。4.將牛骨高湯加入作法3的鍋中，以中大火煮至滾，再加入作法2的spam午餐肉片和熱狗腸片續煮。5.於作法4中陸續放入作法2的韓國泡菜塊、嫩豆腐塊，並加入韓式年糕和韓國辣泡麵拌煮均勻。6.最後混合所有調味汁材料，倒入作法5的鍋中拌勻調味即可。",
牛肉、洋蔥、蒜頭、辣椒,"洋蔥炒牛肉
 食材：牛肉，洋蔥，蒜頭，辣椒
 調味料：沙茶醬，鹽，白胡椒粉
 醃料：太白粉，香油，鹽，白胡椒粉
 作法：1.牛肉切成片狀，放入容器中加入醃料所有材料，醃漬約15分鐘備用。2.將洋蔥切成絲狀；蒜頭與辣椒切片，備用。3.將作法1醃漬過的牛肉片放入190℃的油鍋中，過油後撈起備用。4.熱鍋，加入1大匙沙拉油，放入作法2的所有材料，以中火爆香，再加入作法1過油的牛肉片和所有調味料，再翻炒均勻即可。",
牛肉、洋蔥、蒜末、奶油,"鐵板牛柳
 食材：牛肉，洋蔥，蒜末，奶油
 調味料：黑胡椒粗粉，蠔油，鹽，糖，太白粉水
 醃料：醬油，糖，太白粉，嫩肉粉
 作法：1.牛肉切順紋路切成約0.5公分條狀，再加入所有醃料一起拌勻，醃漬約30分鐘，備用。2.洋蔥切絲，備用。3.熱鍋，加入適量油，放入作法1的牛肉條，泡入溫油中約1分鐘後，撈起瀝乾油份，備用。4.同作法3原鍋，倒出多餘的油，再放入奶油加熱融化，加入蒜末、洋蔥絲用小火炒香、炒軟，續加入所有調味料，再放入作法3的牛肉絲，以大火快炒均勻即可。",
牛肉、蔥、薑、紅辣椒,"蔥爆牛肉
 食材：牛肉，蔥，薑，紅辣椒
 調味料：蠔油，鹽，米酒，糖，香油
 醃料：醬油，胡椒粉，水
 作法：1.牛肉切片，加入醃料抓勻，醃漬約10分鐘後、過油，備用。2.熱鍋，加入適量沙拉油，放入蔥段、薑片、辣椒片炒香，再加入作法1的牛肉片及所有調味料快炒均勻即可。",
水餃皮、牛肉、肥肉、青蔥、蒜末、香油,"牛肉水餃
 食材：水餃皮，牛肉，肥肉，青蔥，蒜末，香油
 調味料：鹽，雞粉，米酒，太白粉，胡椒粉
 作法：1.牛肉、肥肉各剁碎；青蔥洗淨瀝乾水分後切末備用。2.取一大容器放入作法1的牛肉及調味料一起攪拌均勻，以保鮮模覆蓋後放入冰箱冷藏醃漬約20分鐘。3.取出作法2醃漬好的牛肉餡，放入作法1的牛肉和其餘材料，一起攪拌均勻並摔打至肉餡呈現黏性成牛肉內餡備用。4.取一片水餃皮，於中間部分放上適量作法3的牛肉內餡，將上下兩邊皮對折粘起，再於接口處依序折上花紋讓其更加粘緊，重複此動至材料用畢。5.熱一鍋水煮至滾沸後先滴入少許份量外的香油，再放入作法4包好的牛肉水餃，煮約5－6分鐘至水重新滾沸。6.於作法5鍋內加入一量杯水，待水滾沸後將牛肉水餃撈出即可。",
牛腩、紅蘿蔔、馬鈴薯,"紅燒牛腩
 食材：牛腩，紅蘿蔔，馬鈴薯
 調味料：A.醬油，蕃茄醬，細砂糖，鮮雞粉，蠔油，米酒，水，B.太白粉水，香油
 作法：1.牛腩洗淨切塊，放入滾水中汆燙至變色，撈出瀝乾水份備用。2.紅蘿蔔、馬鈴薯均洗淨、去皮切塊備用。3.將所有材料放入湯鍋中，加入所有調味料A小火煮約80分鐘，最後加入調勻的太白粉水勾芡，淋上香油即可。",
去骨牛小排,"黑胡椒烤小牛排
 食材：去骨牛小排
 調味料：黑胡椒醬
 作法：1.將牛小排加入所有調味料醃約5分鐘備用。2.烤箱預熱至180℃，以上火180℃／下火180℃，放入作法1的牛小排及少許的醃醬，烤約5分鐘即可。",
牛腩塊、清水、牛高湯、馬鈴薯、紅蘿蔔、洋蔥,"馬鈴薯燉牛肉
 食材：牛腩塊，清水，牛高湯，馬鈴薯，紅蘿蔔，洋蔥
 調味料：昆布醬油，味醂，鹽
 作法：1.牛腩塊先汆燙切塊後，取一湯鍋加清水蓋滿牛腩即可，水滾後以小火煮約2小時後再撈出牛腩塊備用2.馬鈴薯切小塊；紅蘿蔔切小塊；洋蔥切片備用。3.取一湯鍋，倒入牛高湯及昆布醬油、味醂，以大火將水滾開後，放入牛腩塊以小火煮約30分鐘。4.放入馬鈴薯塊、紅蘿蔔塊、洋蔥片以小火燉煮約20分鐘，最後再加入鹽調味即可。",
牛腱、洋蔥、辣椒、薑片、蔥、市售滷包、水,"香燉牛肉
 食材：牛腱，洋蔥，辣椒，薑片，蔥，市售滷包，水
 調味料：醬油，米酒，糖
 作法：1.牛腱切成厚約1公分的小塊用開水汆燙約1分鐘後洗淨瀝乾，備用。2.洋蔥切小塊；辣椒對切；蔥切段，備用。3.將作法1、2的所有材料一起放入電鍋內鍋中。4.續作法3的內鍋加入所有調味料、開水及滷包，蓋上鍋蓋按下開關。5.待開關跳起後打開鍋蓋，取出裝碗即可。",
肥牛肉片、蒜仁、水梨、紅蔥頭、生菜葉、小黃瓜、蒜片,"韓式烤牛肉
 食材：肥牛肉片，蒜仁，水梨，紅蔥頭，生菜葉，小黃瓜，蒜片
 調味料：味醂，醬油，韓式辣椒醬，米酒，糖
 作法：1.將蒜仁、水梨、紅蔥頭加入所有調味料，用果汁機打成泥，再放入肥牛肉片，醃漬一夜（約8小時），備用。2.生菜葉洗淨、瀝乾；小黃瓜切條，備用。3.熱鍋，放入少許油，將作法1的牛肉片煎熟。4.食用時取生菜葉，包裹小黃瓜條、蒜片、作法3的牛肉片，一起食用即可。",
牛肋條、白蘿蔔、薑、蔥、花椒、白胡椒粒、水,"清燉牛腩
 食材：牛肋條，白蘿蔔，薑，蔥，花椒，白胡椒粒，水
 調味料：鹽，米酒
 作法：1.牛肋條切5公分段塊，放入滾水中汆燙、撈出洗淨，備用。2.白蘿蔔去皮、切滾刀塊，放入滾水中汆燙、撈出，備用。3.薑切片；蔥切段；白胡椒粒用菜刀壓破，和花椒一起裝入滷包袋中，備用。4.取一湯鍋，加入作法1、2、3所有材料，再加700㏄水以小火熬煮1小時，續加入調味料再煮15分鐘，起鍋前撈除滷包袋、薑片、蔥段即可（盛碗後可另加入香菜搭配）。",
牛肉片、洋蔥、青椒、紅蘿蔔、辣椒、蒜、薑,"蠔油牛肉燴飯
 食材：牛肉片，洋蔥，青椒，紅蘿蔔，辣椒，蒜，薑
 調味料：A.蠔油，水，糖，雞粉，鹽，B.醬油，太白粉水，香油
 醃料：鹽，味精，糖，酒，小蘇打，水，太白粉
 作法：1.牛肉用醃漬料抓勻醃漬約30分鐘，過油撈起備用。2.洋蔥、青椒、紅蘿蔔、辣椒、薑皆洗淨後切片；蒜切末備用。3.熱一油鍋，倒1大匙油爆香蒜末、洋蔥片，加入調味料A拌勻。4.煮開後先放入青椒片、紅蘿蔔片，待湯續滾至開後再加入醬油、作法1的牛肉片拌炒後，加入太白粉水勾芡。5.作法4起鍋前淋上香油拌勻，後盛於白飯盤上即可。",
溫水麵糰、牛絞肉、薑、蔥,"牛肉餡餅
 食材：溫水麵糰，牛絞肉，薑，蔥
 調味料：鹽，水，細砂糖，醬油，米酒，白胡椒粉，香油
 作法：1.薑切末，蔥切碎。2.牛絞肉放入鋼盆中，加入鹽後攪拌至有黏性，再加入細砂糖、醬油及米酒拌勻後，將50cc水分2次加入，一面加水一面攪拌至水分被肉吸收。3.續作法2加入薑、白胡椒粉及香油拌勻，要包前再加入蔥花拌勻成餡。4.取溫水麵糰搓成長條，再切成每個重約30公克的麵球。5.將作法4切好的麵球灑上麵粉以防沾黏，再將麵球用桿麵棍桿成直徑約9~10公分的圓形麵皮。6.取約30公克作法3的餡料包入麵皮中，捏細摺封口做底面，略壓成餅型。7.平底鍋燒熱，加入約1大匙沙拉油，放入作法6的餡餅以小火煎至兩面金黃酥脆即可。",
牛肋條、紅蘿蔔、薑片、蔥、太白粉水,"貴妃牛腩
 食材：牛肋條，紅蘿蔔，薑片，蔥，太白粉水
 調味料：辣豆瓣，甜麵醬，蕃茄醬，酒，醬油，糖
 作法：1.牛腩鮮放入沸水中汆燙去除血水，再另取一鍋水，放入汆燙過的牛腩煮約45分鐘取出放涼切塊，剩餘牛高湯留下備用。2.蔥洗淨切小段；紅蘿蔔削皮切塊，備用。3.起鍋，放入2大匙油，油熱後爆香薑片、作法2的蔥段，加入所有調味料炒香，再加入作法1牛腩塊以小火拌炒2分鐘。4.加入作法1的牛高湯至淹過材料1公分，蓋鍋蓋燜煮約30分鐘。5.再放入作法2的紅蘿蔔塊與作法3的牛腩塊，再燒約15分鐘收汁後，以太白粉水勾芡即可。",
牛肉絲、青蔥段、蒜末、紅辣椒絲,"蔥爆牛肉
 食材：牛肉絲，青蔥段，蒜末，紅辣椒絲
 調味料：醬油，砂糖，香油
 醃料：太白粉，雞蛋，鹽，米酒，胡椒
 作法：1.全部的醃料混合拌勻備用。2.牛肉絲浸泡入作法1的醃料中約10分鐘後取出。3.取鍋，加入1大匙油燒熱至約150℃，放入作法1的牛肉絲拌勻後，取出瀝油備用。4.另取鍋，加入少許油燒熱，放入青蔥段、蒜末和紅辣椒絲炒香，加入調味料和作法2的牛肉絲以大火快速拌炒均勻即可。",
牛肉片、蛋、蔥、蒜頭,"滑蛋牛肉
 食材：牛肉片，蛋，蔥，蒜頭
 調味料：鹽
 醃料：嫩精，糖，醬油，酒，水
 作法：1.蔥切段；蒜頭切片；蛋打散加少許水拌勻，備用。2.牛肉片以所有醃料拌勻放置醃約30分鐘備用。3.熱鍋，加多些油，冷油放入作法2的牛肉片，快速炒開至變色，馬上撈起瀝油備用。4.作法3鍋中留少許油，倒入作法1的蛋液炒至半熟立刻撈起。5.作法4原鍋放入作法1的蔥段、蒜片爆香，再放入作法3的牛肉片及作法4的蛋，快速拌炒均勻，再加鹽調味即可。",
